"block","response","text","time_elapsed","condition","participant_id","study_id","session_id"
"practice_a","[""dog""]","The children found the %butter% under the house.","31595","condition_a","8831","",""
"practice_a","[""outline""]","My teacher drew  a(n)  %ladder% in our class.","44677","condition_a","8831","",""
"practice_a","[""writer""]","An author is called  a(n)  %writer% sometimes.","50574","condition_a","8831","",""
"practice_a","[""cans""]","My brother collects %bottles% for recycling.","60904","condition_a","8831","",""
"practice_b","[""assembly""]","The children sang at the %battle% last week.","71470","condition_a","8831","",""
"practice_b","[""coin""]","The man found  a(n)  %fiddle% from Italy.","78201","condition_a","8831","",""
"practice_b","[""gather""]","The child found a way to %whittle% sticks.","91016","condition_a","8831","",""
"practice_b","[""fly""]","The geese like to %waddle% down to the pond.","100880","condition_a","8831","",""
"main","[""bow""]","The sailor stood at the %helm% of the ship.","110612","condition_a","8831","",""
"main","[""fairy""]","The book had a picture of  a(n)  %cell% in it.","123743","condition_a","8831","",""
"main","[""book""]","Mary found a new %tale% about zebras.","132290","condition_a","8831","",""
"main","[""deer""]","The hunters were hunting %elk% this season.","138454","condition_a","8831","",""
"main","[""movie""]","The woman saw the %cotton% yesterday.","144939","condition_a","8831","",""
"main","[""England""]","Prince William returned to %Britain% after his trip.","151068","condition_a","8831","",""
"main","[""crumbs""]","My table was covered with %mail% from yesterday.","164518","condition_a","8831","",""
"main","[""blinds""]","The windows need %curtains% to block the sun.","172366","condition_a","8831","",""
"main","[""mittens""]","The children's hands need %mittens% for the snow.","180198","condition_a","8831","",""
"main","[""printer""]","The lawyer bought a new %fountain% for the firm.","198144","condition_a","8831","",""
"main","[""cover""]","The book needs  a(n)  %belt% for decoration.","203442","condition_a","8831","",""
"main","[""mead""]","The Vikings are drinking %ale% out of horns.","209192","condition_a","8831","",""
"main","[""kitten""]","The cat feeds her tiny %kittens% with a mouse.","217607","condition_a","8831","",""
"main","[""fashion""]","I heard about the new %health% fad this week.","225239","condition_a","8831","",""
"main","[""cars""]","The man watches shows about %Latin% on YouTube.","237037","condition_a","8831","",""
"main","[""map""]","Many fantasy books contain a(n) %elf% in them.","244333","condition_a","8831","",""
"main","[""ant""]","The dog saw  a(n)  %button% next to its dish.","256667","condition_a","8831","",""
"main","[""rail""]","The train travels by %rail% to the seaside.","260532","condition_a","8831","",""
"main","[""drink""]","The parents found  a(n)  %nail% in the cupholder.","275578","condition_a","8831","",""
"main","[""sunrise""]","The children saw the %wells% over the ridge.","288677","condition_a","8831","",""
"main","[""shell""]","The hermit crab needs a new %shell% today.","296958","condition_a","8831","",""
"main","[""floor""]","The dog sleeps on the %trail% during the day.","303824","condition_a","8831","",""
"main","[""butterflies""]","Monterey Bay is home to %whales% in the Spring","313021","condition_a","8831","",""
"main","[""meal""]","The French are eating the %snails% at the restaurant","321170","condition_a","8831","",""
"main","[""carton""]","The school lunch came with snacks and  a(n)  %carton% of milk.","333051","condition_a","8831","",""
"main","[""fruit""]","The smoothie is made with %kale% from the garden","338783","condition_a","8831","",""
"main","[""recall""]","The children heard about a(n) %sale% on cheese.","364143","condition_a","8831","",""
"main","[""outfit""]","The children needed  a(n)  %bell% for the event.","371795","condition_a","8831","",""
"main","[""wood""]","The carpenter used %elm% for the cabinet.","378459","condition_a","8831","",""
"main","[""animals""]","The man learned about the %mountains% in Africa.","399204","condition_a","8831","",""
